# meta
{"unit": "W", "resolution": 15, "start_date": "2014-01-01 00:00", "num_profiles": 3}
# id_lists
{
"small grid": ["0", "1"],
"medium grid": ["0", "1", "2", "3", "4", "5", "6", "7", "8", "9", "10", "11", "12", "13", "14", "15", "16", "17", "18",
"19", "20", "22", "23", "24", "25", "26", "27", "28", "29", "30", "31", "32", "33", "34", "35", "36", "37", "38", "39", "40",
"41", "42", "43", "44", "45", "46", "47", "48", "49", "50"]
}
# attrs
num_hh,           1,  2,  1
num_residents,    2,  4,  5
# profiles
2014-01-01 00:00, 0,  -1,  -2
2014-01-01 00:15, -1,  -2,  -3
2014-01-01 00:30, -2,  -3,  -4
2014-01-01 00:45, -3,  -4,  -5
2014-01-01 01:00, -4,  -5,  -6
2014-01-01 01:15, -5,  -6,  -7
2014-01-01 01:30, -6,  -7,  -8
2014-01-01 01:45, -7,  -8,  -9
2014-01-01 02:00, -8,  -9,  -10
2014-01-01 02:15, -9,  -10, -11
2014-01-01 02:45, -10, -11, -12
2014-01-01 03:00, -10, -11, -12
2014-01-01 03:15, -10, -11, -12
2014-01-01 03:30, -10, -11, -12
2014-01-01 03:45, -10, -11, -12
2014-01-01 04:00, -10, -11, -12
2014-01-01 04:15, -10, -11, -12
2014-01-01 04:30, -10, -11, -12
2014-01-01 04:45, -10, -11, -12
2014-01-01 05:00, -10, -11, -12
2014-01-01 05:15, -10, -11, -12
2014-01-01 05:30, -10, -11, -12
2014-01-01 05:45, -10, -11, -12
2014-01-01 06:00, -10, -11, -12
2014-01-01 06:15, -10, -11, -12
2014-01-01 06:30, -10, -11, -12
2014-01-01 06:45, -100, -110, -120
2014-01-01 07:00, -100, -110, -120
2014-01-01 07:15, -100, -110, -120
2014-01-01 07:30, -100, -110, -120
2014-01-01 07:45, -100, -110, -120
2014-01-01 08:00, -200, -210, -220
2014-01-01 08:15, -200, -210, -220
2014-01-01 08:30, -200, -210, -220
2014-01-01 08:45, -200, -210, -220
2014-01-01 09:00, -200, -210, -220
2014-01-01 09:15, -200, -210, -220
2014-01-01 09:30, -200, -210, -220
2014-01-01 09:45, -200, -210, -220
2014-01-01 10:00, -400, -210, -220
2014-01-01 10:15, -400, -210, -220
2014-01-01 10:30, -400, -210, -220
2014-01-01 10:45, -400, -210, -220



